aktiivse,1,A
aktiivset,1,A
aktiivsesse,1,A
aktiivses,1,A
aktiivsest,1,A
aktiivsele,1,A
aktiivsel,1,A
aktiivselt,1,A/D
aktiivseks,1,A
aktiivseni,1,A
aktiivsena,1,A
aktiivseta,-1,A
aktiivsega,1,A
aktiivsed,1,A
aktiivsete,1,A
aktiivseid,1,A
aktiivsetesse,1,A
aktiivseisse,1,A
aktiivsetes,1,A
aktiivseis,1,A
aktiivsetest,1,A
aktiivseist,1,A
aktiivsetele,1,A
aktiivseile,1,A
aktiivsetel,1,A
aktiivseil,1,A
aktiivsetelt,1,A
aktiivseilt,1,A
aktiivseteks,1,A
aktiivseiks,1,A
aktiivseteni,1,A
aktiivsetena,1,A
aktiivseteta,-1,A
aktiivsetega,1,A
aktiivsem,1,A
aktiivsema,1,A
aktiivsemat,1,A
aktiivsemasse,1,A
aktiivsemas,1,A
aktiivsemast,1,A
aktiivsemale,1,A
aktiivsemal,1,A
aktiivsemalt,1,A/D
aktiivsemaks,1,A
aktiivsemani,1,A
aktiivsemana,1,A
aktiivsemata,-1,A
aktiivsemaga,1,A
aktiivsemad,1,A
aktiivsemate,1,A
aktiivsemaid,1,A
aktiivsematesse,1,A
aktiivsemaisse,1,A
aktiivsemates,1,A
aktiivsemais,1,A
aktiivsematest,1,A
aktiivsemaist,1,A
aktiivsematele,1,A
aktiivsemaile,1,A
aktiivsematel,1,A
aktiivsemail,1,A
aktiivsematelt,1,A
aktiivsemailt,1,A
aktiivsemateks,1,A
aktiivsemaiks,1,A
aktiivsemateni,1,A
aktiivsematena,1,A
aktiivsemateta,-1,A
aktiivsematega,1,A
aktiivsus,1,S
aktiivsuse,1,S
aktiivsust,1,S
aktiivsusse,1,S
aktiivsusesse,1,S
aktiivsuses,1,S
aktiivsusest,1,S
aktiivsusele,1,S
aktiivsusel,1,S
aktiivsuselt,1,S/D
aktiivsuseks,1,S
aktiivsuseni,1,S
aktiivsusena,1,S
aktiivsuseta,-1,S
aktiivsusega,1,S
aktiivsused,1,S
aktiivsuste,1,S
aktiivsusi,1,S
aktiivsustesse,1,S
aktiivsustes,1,S
aktiivsustest,1,S
aktiivsustele,1,S
aktiivsustel,1,S
aktiivsustelt,1,S
aktiivsusteks,1,S
aktiivsusiks,1,S
aktiivsusteni,1,S
aktiivsustena,1,S
aktiivsusteta,-1,S
aktiivsustega,1,S
aktiivsusetu,-1,S
aktiivsusetut,-1,S
aktiivsusetusse,-1,S
aktiivsusetus,-1,S
aktiivsusetust,-1,S
aktiivsusetule,-1,S
aktiivsusetul,-1,S
aktiivsusetult,-1,S/D
aktiivsusetuks,-1,S
aktiivsusetuni,-1,S
aktiivsusetuna,-1,S
aktiivsusetuta,1,S
aktiivsusetuga,-1,S
aktiivsusetud,-1,S
aktiivsusetute,-1,S
aktiivsusetuid,-1,S
aktiivsusetutesse,-1,S
aktiivsusetuisse,-1,S
aktiivsusetutes,-1,S
aktiivsusetuis,-1,S
aktiivsusetutest,-1,S
aktiivsusetuist,-1,S
aktiivsusetutele,-1,S
aktiivsusetuile,-1,S
aktiivsusetutel,-1,S
